Time (s),power (dB),amplitude (real),amplitude (imag)
-3.841903977406448e-05,-58.4723814802951,-3.5834907910663293e-09,6.467353387830383e-10
-3.83990350670746e-05,-58.012373163632304,3.825802549285804e-09,-3.2320594306910986e-10
-3.837903036008472e-05,-57.147126520730694,-4.232167784944466e-09,2.8263081082565103e-10
-3.8359025653094845e-05,-56.49352480772296,4.5402368920055325e-09,-5.471306568845277e-10
-3.8339020946104965e-05,-56.31765677687832,-4.5705072737670514e-09,9.422450371800732e-10
-3.8319016239115084e-05,-56.62800192277291,4.329609079887643e-09,-1.2369104606932431e-09
-3.8299011532125204e-05,-57.28704676882637,-3.9701151313835985e-09,1.2879879852177597e-09
-3.827900682513532e-05,-58.01140983947383,3.681165755971574e-09,-1.0924816117188394e-09
-3.825900211814544e-05,-58.38071519631194,-3.6006238947934207e-09,7.602802532430117e-10
-3.823899741115556e-05,-58.110940183883656,3.768011948673796e-09,-4.60994473390896e-10
-3.821899270416568e-05,-57.40526301192398,-4.101863005322679e-09,3.572750704579792e-10
-3.81989879971758e-05,-56.73001922146233,4.419984494883851e-09,-5.181428660838051e-10
-3.817898329018592e-05,-56.41510927619055,-4.5343766854740215e-09,8.564837213999406e-10
-3.815897858319604e-05,-56.567085684808234,4.381667637042762e-09,-1.167410929437874e-09
-3.8138973876206166e-05,-57.08923703042777,-4.076527611624961e-09,1.2706163645730275e-09
-3.8118969169216286e-05,-57.68229491251239,3.821032511186958e-09,-1.1423641827879326e-09
-3.8098964462226405e-05,-57.97804721656453,-3.745029476813665e-09,9.126639198489435e-10
-3.8078959755236524e-05,-57.88029956707868,3.828189570822094e-09,-7.35781583761863e-10
-3.8058955048246644e-05,-57.61053043380144,-3.964882200872223e-09,6.708226602055527e-10
-3.803895034125676e-05,-57.364178295729346,4.080265422900838e-09,-6.82273494079243e-10
-3.801894563426688e-05,-57.1655880140151,-4.1698715432168144e-09,7.259333396425562e-10
-3.7998940927277e-05,-56.98481759914557,4.2465389294039466e-09,-8.019578592501921e-10
-3.797893622028712e-05,-56.8560115299897,-4.287718780578735e-09,9.240700620050786e-10
-3.795893151329724e-05,-56.85919935489241,4.252464168986341e-09,-1.0681151727980584e-09
-3.793892680630736e-05,-57.03507026096571,-4.132825721778459e-09,1.1752113611234544e-09
-3.791892209931749e-05,-57.34993216641965,3.966885818761102e-09,-1.1975438416669684e-09
-3.78989173923276e-05,-57.72181750768257,-3.8081974889882724e-09,1.1219755826700195e-09
-3.7878912685337726e-05,-58.03760172048996,3.7068592026737074e-09,-9.56575773007118e-10
-3.7858907978347845e-05,-58.122106704270664,-3.7203589455750906e-09,7.296265881800602e-10
-3.7838903271357965e-05,-57.795171397593634,3.901858533089949e-09,-5.222266382534106e-10
-3.7818898564368084e-05,-57.1125443187949,-4.232182035342709e-09,4.728551680726131e-10
-3.7798893857378204e-05,-56.41640261428054,4.561821362580419e-09,-6.910728270835325e-10
-3.777888915038832e-05,-56.06938963519855,-4.6669530392453646e-09,1.1305305425722709e-09
-3.775888444339844e-05,-56.2851961341909,4.416581680156045e-09,-1.5603044345899607e-09
-3.773887973640856e-05,-57.103964351462224,-3.9074596080915e-09,1.703695755184927e-09
-3.771887502941868e-05,-58.29227007799304,3.4261056177143897e-09,-1.4432404304194882e-09
-3.76988703224288e-05,-59.11232468741315,-3.257119423092325e-09,9.133104188484108e-10
-3.767886561543892e-05,-58.7605393562973,3.498908244539734e-09,-4.075247479852572e-10
-3.7658860908449047e-05,-57.59871205442383,-4.022025783418808e-09,1.9407825785947143e-10
-3.7638856201459166e-05,-56.48196025528824,4.563322734110341e-09,-3.8072431213410993e-10
-3.7618851494469285e-05,-55.82380749415378,-4.859755499442692e-09,8.84758671037539e-10
-3.7598846787479405e-05,-55.753239434799184,4.75603182642306e-09,-1.4764466620553304e-09
-3.7578842080489524e-05,-56.31802330408689,-4.2769086943488186e-09,1.866434200537482e-09
-3.7558837373499644e-05,-57.48076194110132,3.645135908824966e-09,-1.8367750166784958e-09
-3.753883266650976e-05,-58.865624528534255,-3.195455936413912e-09,1.3787153998149605e-09
-3.751882795951988e-05,-59.408063953242845,3.1859397242600656e-09,-7.344825085373289e-10
-3.749882325253e-05,-58.494245791780486,-3.622311292160598e-09,2.682283152896146e-10
-3.747881854554012e-05,-57.12670807827553,4.245155047165806e-09,-2.335974020887709e-10
-3.745881383855024e-05,-56.17098275159714,-4.70582006653164e-09,6.16981621551667e-10
-3.743880913156037e-05,-55.83838959514367,4.788827212561707e-09,-1.1770156900004663e-09
-3.741880442457049e-05,-56.08635228544563,-4.508875043777209e-09,1.6244105120772585e-09
-3.7398799717580606e-05,-56.78909922776546,4.045049028447751e-09,-1.7817745117020982e-09
-3.7378795010590726e-05,-57.73654356003186,-3.6137033596763545e-09,1.6275726732027622e-09
-3.7358790303600845e-05,-58.550562584638385,3.382480925003607e-09,-1.257748974576172e-09
-3.7338785596610965e-05,-58.73264769719546,-3.433326073614655e-09,8.370510354800511e-10
-3.7318780889621084e-05,-58.154222498021824,3.736854513260907e-09,-5.50858858777752e-10
-3.7298776182631203e-05,-57.27224379422174,-4.147148410294743e-09,5.304406838455697e-10
-3.727877147564132e-05,-56.576947929699145,4.462633602616831e-09,-7.746745391368888e-10
-3.725876676865144e-05,-56.284572741304316,-4.542592019591572e-09,1.144006574852236e-09
-3.723876206166156e-05,-56.40033522985556,4.387496571548251e-09,-1.454844642723139e-09
-3.721875735467168e-05,-56.8125603824673,-4.109149174899116e-09,1.5958626144174714e-09
-3.71987526476818e-05,-57.36489786368227,3.830489886506758e-09,-1.561593716250868e-09
-3.717874794069193e-05,-57.91191826850982,-3.6242399222256808e-09,1.3968033510462546e-09
-3.7158743233702046e-05,-58.299723992479414,3.533742619913545e-09,-1.1445979563729056e-09
-3.7138738526712166e-05,-58.31446038672834,-3.606288495677201e-09,8.633578671546595e-10
-3.7118733819722285e-05,-57.837452528004405,3.860927679900183e-09,-6.635627973133299e-10
-3.7098729112732405e-05,-57.082630337610595,-4.2197554787552644e-09,6.737687492585479e-10
-3.7078724405742524e-05,-56.43739950861783,4.50635680750282e-09,-9.369483011956344e-10
-3.7058719698752644e-05,-56.17365559989713,-4.550364067535951e-09,1.34377705133745e-09
-3.703871499176276e-05,-56.38732789716579,4.311226191645607e-09,-1.6864513229251687e-09
-3.701871028477288e-05,-57.033131555820546,-3.906754292715563e-09,1.7907775248771036e-09
-3.6998705577783e-05,-57.914166258212475,3.5329534355219274e-09,-1.6113993209262836e-09
-3.697870087079312e-05,-58.62260708525716,-3.359639560472053e-09,1.233562008584327e-09
-3.695869616380325e-05,-58.652520083625205,3.470705007643965e-09,-8.216685853571334e-10
-3.693869145681337e-05,-57.91751610073794,-3.840121806290136e-09,5.658677872202821e-10
-3.691868674982349e-05,-56.90247938905915,4.318639479006001e-09,-6.189056527056173e-10
-3.6898682042833606e-05,-56.12771837732055,-4.66273474444985e-09,1.004904410032121e-09
-3.6878677335843726e-05,-55.885890133563464,4.65172740397395e-09,-1.5540705019605106e-09
-3.6858672628853845e-05,-56.295243070622035,-4.248360039952541e-09,1.959969833618176e-09
-3.6838667921863964e-05,-57.31537151095736,3.665017473849301e-09,-1.968533875974196e-09
-3.6818663214874084e-05,-58.56765992889285,-3.2445441682459555e-09,1.5636093254747636e-09
