Time (s),power (dB),amplitude (real),amplitude (imag)
-3.841903977406448e-05,-58.0257901358261,-2.9041876502130033e-09,5.639840656971984e-10
-3.83990350670746e-05,-57.90965995325166,2.968129023605851e-09,-4.240160618712592e-10
-3.837903036008472e-05,-57.551414717709775,-3.105153443218991e-09,3.472553470928605e-10
-3.8359025653094845e-05,-57.11183531859086,3.266404493469812e-09,-3.6474808798544177e-10
-3.8339020946104965e-05,-56.74927896356053,-3.3937899907843536e-09,4.744962432342965e-10
-3.8319016239115084e-05,-56.56676969297416,3.4401862003506004e-09,-6.41936034540085e-10
-3.8299011532125204e-05,-56.61096394778167,-3.385877497324338e-09,8.11666273248439e-10
-3.827900682513532e-05,-56.881045855303626,3.2455944910703234e-09,-9.263572204116194e-10
-3.825900211814544e-05,-57.3261486910169,-3.0637803680760694e-09,9.463378857559521e-10
-3.823899741115556e-05,-57.83109045182232,2.899759573553953e-09,-8.631842894686694e-10
-3.821899270416568e-05,-58.21556132588057,-2.807904010295433e-09,7.027421122228273e-10
-3.81989879971758e-05,-58.300098986185844,2.8195267307657552e-09,-5.166546400783812e-10
-3.817898329018592e-05,-58.035237869355115,-2.9325545808033573e-09,3.653602873880559e-10
-3.815897858319604e-05,-57.54565296528699,3.112317033789451e-09,-2.983410456608757e-10
-3.8138973876206166e-05,-57.023567561640505,-3.303006568253253e-09,3.3821081068234874e-10
-3.8118969169216286e-05,-56.61984664289932,3.445824303323155e-09,-4.738074221170045e-10
-3.8098964462226405e-05,-56.4174583641169,-3.497712524146734e-09,6.64337835618556e-10
-3.8078959755236524e-05,-56.44594406701884,3.4445600931891143e-09,-8.529226166351491e-10
-3.8058955048246644e-05,-56.694678935847634,-3.3047814669800425e-09,9.848565668573002e-10
-3.803895034125676e-05,-57.11303291547904,3.1224652639423774e-09,-1.0245348807422072e-09
-3.801894563426688e-05,-57.60131066207151,-2.952712793275011e-09,9.65676668285152e-10
-3.7998940927277e-05,-58.011368169179946,2.8441964773312054e-09,-8.318914537897442e-10
-3.797893622028712e-05,-58.19159942895152,-2.824613460903131e-09,6.67895158571539e-10
-3.795893151329724e-05,-58.078173595329275,2.893470707807354e-09,-5.246678585053588e-10
